brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Nissan,March,HK 13,2010,Used,Automatic,Hatchback,Petrol,"1,200 cc","1,200 km",6150000
Nissan,March,EK12,2007,Used,Automatic,Hatchback,Petrol,"1,250 cc","110,000 km",4350000
Nissan,Dayz,,2016,Used,Automatic,Hatchback,Petrol,660 cc,"180,000 km",5500000
Nissan,Dayz,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"38,854 km",5885000
Nissan,ROOX HIGHWAY STAR X,360 camera,2023,Used,Automatic,Hatchback,Hybrid,660 cc,"17,000 km",8375000
Nissan,Dayz,,2019,Used,Automatic,Hatchback,Petrol,650 cc,"60,000 km",5680000
Nissan,Dayz,G TURBO HIGHWAY STAR,2023,Used,Automatic,Hatchback,Hybrid,660 cc,"18,000 km",8075000
Nissan,Magnite,Nissan,2025,Used,Automatic,Hatchback,Petrol,990 cc,"2,900 km",8950000
Toyota,Vitz,KSP130 Vitz,2018,Used,Automatic,Hatchback,Petrol,990 cc,"47,000 km",8500000
Nissan,Note,E Power,2017,Used,Automatic,Hatchback,Petrol,"1,200 cc","98,000 km",7900000
Nissan,Dayz,,2015,Used,Automatic,Hatchback,Petrol,650 cc,"107,267 km",5950000
Nissan,Juke,,2010,Used,Automatic,Hatchback,Petrol,"1,500 cc","152,000 km",7090000
Nissan,Leaf,Nissan,2014,Used,Automatic,Hatchback,Hybrid,"1,000 cc","89,000 km",5500000
Nissan,Dayz,Highway Star 2018,2018,Used,Automatic,Hatchback,Petrol,650 cc,"109,999 km",6350000
Nissan,Dayz,2016,2015,Used,Automatic,Hatchback,Petrol,650 cc,"99,000 km",5600000
Nissan,Dayz,Dayz Highway Star,2017,Used,Automatic,Hatchback,Petrol,650 cc,"119,250 km",6475000
Toyota,Harrier,HYBRID 2015,2015,Reconditioned,Automatic,Hatchback,Hybrid,250 cc,"115,000 km",1650000
Nissan,March,AK,2007,Used,Automatic,Hatchback,Petrol,"1,240 cc","132,000 km",4750000
Nissan,Dayz,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"84,071 km",5790000
Nissan,Dayz,,2016,Used,Automatic,Hatchback,Petrol,"2,000 cc","107,600 km",5850000
Nissan,Note,Embassy,2020,Used,Automatic,Hatchback,Petrol,"1,200 cc","44,000 km",8700000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Petrol,660 cc,"83,500 km",7050000
Perodua,Axia,G Grade,2016,Used,Automatic,Hatchback,Petrol,998 cc,"105,350 km",5695000
Nissan,Dayz,HIGHWAY STAR,2023,Used,Automatic,Hatchback,Hybrid,660 cc,"8,000 km",7985000
Nissan,Note,Note,2009,Used,Automatic,Hatchback,Petrol,"1,500 cc","171,000 km",4750000
Nissan,Clipper,,2024,Used,Automatic,Hatchback,Petrol,660 cc,"3,619 km",7850000
Nissan,Note,2016,2016,Used,Automatic,Hatchback,Hybrid,"1,200 cc","104,000 km",7500000
Honda,Fit,GP1 Navi Premium,2012,Used,Automatic,Hatchback,Petrol,"1,330 cc","120,000 km",6380000
Nissan,Dayz,,2015,Used,Automatic,Hatchback,Petrol,650 cc,"105,415 km",5690000
Nissan,Roox,G TURBO PRO PILOT,2023,Used,Automatic,Hatchback,Hybrid,660 cc,"17,000 km",9175000
